date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease
2020/11/02,223511,474,24560,9970,1446,48773,469808,122225888,1023604,2809,2637,9291094,83495,56,150748907,1296252
2020/11/03,225036,1525,24796,10530,3115,50512,472923,123125341,899453,2833,2733,9381039,89945,56,151959758,1210851
2020/11/04,226162,1126,25041,10892,3114,52166,476037,124017673,892332,2853,2832,9486250,105211,56,153238483,1278725
2020/11/05,227317,1155,25276,11046,2541,53465,478578,125215618,1197945,2872,2877,9605046,118796,56,154848737,1610254
2020/11/06,228503,1186,25498,11213,3143,54949,481721,126375637,1160019,2885,2850,9733951,128905,56,156516215,1667478
2020/11/07,229635,1132,25721,11215,2297,56037,484018,127369746,994109,2898,2947,9865798,131847,56,157915453,1399238
2020/11/08,230136,501,25819,11223,1467,56942,485485,128243639,873893,2900,2977,9977939,112141,56,159137233,1221780
2020/11/09,230716,580,26087,11638,2261,59394,487746,129385804,1142165,2907,3110,10096019,118080,56,160587045,1449812
2020/11/10,232073,1357,26335,12071,4033,62138,491779,130392055,1006251,2922,3201,10229189,133170,56,161926248,1339203
2020/11/11,233652,1579,26584,12625,3275,65557,495054,131416313,1024258,2947,3367,10378027,148838,56,163389825,1463577
2020/11/12,234763,1111,26803,12911,3551,67233,498605,132457925,1041612,2954,3622,10535331,157304,56,164959020,1569195
2020/11/13,236067,1304,26997,13279,3686,68599,502291,133669796,1211871,2967,3769,10709234,173903,56,166663195,1704175
2020/11/14,237419,1352,27172,13491,3424,69588,505715,134859638,1189842,2972,3945,10876440,167206,56,168366581,1703386
2020/11/15,238127,708,27269,13849,1868,70202,507583,135942086,1082448,2975,3939,11023151,146711,56,169923113,1556532
2020/11/16,238736,609,27437,14494,3033,73377,510616,137077207,1135121,2988,4166,11172766,149615,56,171456408,1533295
2020/11/17,240298,1562,27681,15018,3812,77079,514428,138224985,1147778,3004,4379,11331951,159185,56,173056555,1600147
2020/11/18,242180,1882,27989,15558,4384,79517,518812,139335067,1110082,3024,4701,11499699,167748,56,174713037,1656482
2020/11/19,244200,2020,28216,15763,4420,80682,523232,140603550,1268483,3052,4859,11686973,187274,56,176521388,1808351
2020/11/20,246094,1894,28472,16138,3891,82279,527123,141981690,1378140,3078,5055,11883565,196592,56,178464247,1942859
2020/11/21,247648,1554,28693,16264,3340,83346,530463,143412141,1430451,3087,5103,12066957,183392,56,180515133,2050886
2020/11/22,248565,917,28828,16411,2291,83882,532754,144658789,1246648,3094,5233,12220802,153845,56,182275524,1760391
2020/11/23,249423,858,28990,17080,2985,85979,535739,145929315,1270526,3106,5458,12375044,154242,56,184027152,1751628
2020/11/24,251529,2106,29245,17314,4591,88174,540330,147314285,1384970,3123,5630,12540132,165088,56,185843674,1816522
2020/11/25,253809,2280,29540,17740,4568,90041,544898,148525846,1211561,3147,5990,12727979,187847,56,187668035,1824361
2020/11/26,255196,1387,29673,18019,2247,90564,547145,149424613,898767,3153,5986,12857375,129396,56,189000195,1332160
2020/11/27,256588,1392,29858,18061,3499,89950,550644,150829321,1404708,3171,6030,13054957,197582,56,191040738,2040543
2020/11/28,257839,1251,30109,18249,3404,91762,554048,152039715,1210394,3179,6148,13206869,151912,56,192655147,1614409
2020/11/29,258662,823,30274,18437,2429,93357,556477,152909940,870225,3184,6245,13343776,136907,56,193936388,1281241
2020/11/30,259697,1035,30469,18801,3394,96149,559871,154116897,1206957,3205,6520,13492989,149213,56,195548534,1612146
2020/12/01,262203,2506,30749,19295,5222,98777,565093,156085379,1968482,3223,6649,13672038,179049,56,197014702,1466168
2020/12/02,265007,2804,31038,19680,5028,100322,570121,157126784,1041405,3252,6855,13874067,202029,56,198571188,1556486
2020/12/03,267832,2825,31276,19723,5331,100755,575452,158396872,1270088,3280,6867,14088469,214402,56,200466164,1894976
2020/12/04,270405,2573,31608,19858,4652,101276,580104,159677860,1280988,3305,6999,14318424,229955,56,202350411,1884247
2020/12/05,272885,2480,31831,19947,3457,101192,583561,161185819,1507959,3321,7006,14535826,217402,56,204560813,2210402
2020/12/06,274030,1145,31946,20145,2311,101501,585872,162301128,1115309,3322,7095,14717624,181798,56,206167404,1606591
2020/12/07,275327,1297,32120,20098,3614,102148,589486,163633229,1332101,3328,7073,14899136,181512,56,207889549,1722145
2020/12/08,278030,2703,32406,20483,4309,104623,593795,164870380,1237151,3359,7245,15115091,215955,56,209547906,1658357
2020/12/09,281194,3164,32720,20906,5424,106705,599219,166136143,1265763,3376,7624,15329962,214871,56,211348882,1800976
2020/12/10,284309,3115,32919,21023,4335,107276,603554,167411586,1275443,3394,7442,15549593,219631,56,213240112,1891230
2020/12/11,287058,2749,33237,21010,5444,108108,608998,168757136,1345550,3424,7489,15785095,235502,56,215230850,1990738
2020/12/12,289552,2494,33419,21198,3695,108461,612693,169921395,1164259,3430,7515,16010219,225124,56,217039353,1808503
2020/12/13,291046,1494,33494,21230,2314,109298,615007,171135815,1214420,3432,7535,16196577,186358,56,218809516,1770163
2020/12/14,292404,1358,33693,21456,3569,110549,618576,172826313,1690498,3442,7706,16389582,193005,56,220967544,2158028
2020/12/15,295375,2971,33958,21882,4398,112814,622974,174154392,1328079,3460,7701,16580100,190518,56,222741251,1773707
2020/12/16,298823,3448,34237,21946,4800,113278,627774,175354841,1200449,3488,7778,16812398,232298,56,224529221,1787970
2020/12/17,302261,3438,34485,21910,5133,114459,632907,176612654,1257813,3504,7847,17053210,240812,56,226393532,1864311
2020/12/18,305127,2866,34716,21745,5240,113955,638147,178149619,1536965,3519,7786,17293005,239795,56,228589865,2196333
2020/12/19,307850,2723,34949,21688,3337,113929,641484,179336829,1187210,3529,7790,17496485,203480,56,230329358,1739493
2020/12/20,309483,1633,35030,21763,2382,113601,643866,180557416,1220587,3530,7695,17693058,196573,56,232121438,1792080
2020/12/21,310968,1485,35178,21899,3214,115351,647080,182170319,1612903,3539,7776,17871764,178706,56,234203505,2082067
2020/12/22,314134,3166,35428,22207,4538,117761,651618,183403575,1233256,3554,7838,18062389,190625,56,235893347,1689842
2020/12/23,317513,3379,35695,22489,4829,119463,656447,184599554,1195979,3579,7819,18283874,221485,56,237640846,1747499
2020/12/24,320462,2949,35899,22607,4227,120151,660674,185867413,1267859,3587,7784,18488125,204251,56,239570880,1930034
2020/12/25,322010,1548,35945,22418,2001,118948,662675,186834498,967085,3592,7831,18614038,125913,56,240924569,1353689
2020/12/26,323429,1419,36038,22373,2292,117344,664967,188355248,1520750,3593,7809,18803864,189826,56,243046630,2122061
2020/12/27,324831,1402,36164,22447,2302,118720,667269,189366531,1011283,3604,7878,18957633,153769,56,244386970,1340340
2020/12/28,326322,1491,36308,22592,3832,121235,671101,190547699,1181168,3612,7951,19120392,162759,56,245924739,1537769
2020/12/29,329621,3299,36583,22843,5229,124693,676330,191453975,906276,3635,7883,19316336,195944,56,247170840,1246101
2020/12/30,333524,3903,36855,23059,5538,125218,681868,192423090,969115,3653,7931,19542595,226259,56,248708964,1538124
2020/12/31,336811,3287,37066,23099,4290,125379,686158,193543537,1120447,3672,8003,19766247,223652,56,250457987,1749023
2021/01/01,339407,2596,37196,23255,4507,125047,690665,194416322,872785,3681,7990,19946516,180269,56,251798001,1340014
2021/01/02,341802,2395,37309,23133,3051,123614,693716,195775061,1358739,3684,7910,20225484,278968,56,253858221,2060220
2021/01/03,343263,1461,37433,23243,2226,125562,695942,196776258,1001197,3688,7939,20433628,208144,56,255259670,1401449
2021/01/04,344808,1545,37586,23423,4029,128206,699971,198034096,1257838,3692,7925,20611377,177749,56,256898323,1638653
2021/01/05,348330,3522,37841,23512,4153,131215,704124,199203160,1169064,3718,7976,20826790,215413,56,258507055,1608732
2021/01/06,352196,3866,38064,23716,6709,132464,710833,200224579,1021419,3739,7944,21074576,247786,56,260126223,1619168
2021/01/07,356277,4081,38236,23821,5318,132370,716151,201442513,1217934,3748,7900,21344028,269452,56,262044317,1918094
2021/01/08,360054,3777,38432,23886,4616,131889,720767,202809998,1367485,3756,7909,21654108,310080,56,264181811,2137494