Date,NASDAQ,N225,PFE,MRNA
2020-11-04,11590.780273,23695.230469,35.056927,69.809998
2020-11-05,11890.929688,24105.279297,34.525616,71.480003
2020-11-06,11895.230469,24325.230469,34.535103,72.449997
2020-11-09,11713.780273,24839.839844,37.191650,77.739998
2020-11-10,11553.860352,24905.589844,36.698292,76.050003
2020-11-11,11786.429688,25349.599609,36.527515,82.440002
2020-11-12,11709.589844,25520.880859,35.626186,87.809998
2020-11-13,11829.290039,25385.869141,36.641365,89.389999
2020-11-16,11924.129883,25906.929688,35.417458,97.949997
2020-11-17,11899.339844,26014.619141,36.040001,93.150002
2020-11-18,11801.599609,25728.140625,36.320000,88.889999
2020-11-19,11904.709961,25634.339844,36.189999,92.769997
2020-11-20,11854.969727,25527.369141,36.700001,97.610001
2020-11-23,11880.629883,26165.589844,36.520000,101.029999
2020-11-24,12036.790039,26296.859375,36.599998,98.559998
2020-11-25,12094.400391,26537.310547,36.529999,109.180000
2020-11-27,12205.849609,26644.710938,37.230000,127.029999
2020-11-30,12198.740234,26433.619141,38.310001,152.740005
2020-12-01,12355.110352,26787.539063,39.410000,141.009995
2020-12-02,12349.370117,26800.980469,40.799999,143.000000
2020-12-03,12377.179688,26809.369141,40.090000,157.259995
2020-12-04,12464.230469,26751.240234,40.340000,152.520004
2020-12-07,12519.950195,26547.439453,41.250000,159.520004
2020-12-08,12582.769531,26467.080078,42.560001,169.860001
2020-12-09,12338.950195,26817.939453,41.849998,156.589996
2020-12-10,12405.809570,26756.240234,41.730000,155.690002
2020-12-11,12377.870117,26652.519531,41.119999,156.929993
2020-12-14,12440.040039,26732.439453,39.209999,155.070007
2020-12-15,12595.059570,26687.839844,38.709999,147.220001
2020-12-16,12658.190430,26757.400391,37.840000,137.029999
2020-12-17,12764.750000,26806.669922,38.029999,144.000000
2020-12-18,12755.639648,26763.390625,37.680000,140.229996
2020-12-21,12742.519531,26714.419922,37.380001,138.300003
2020-12-22,12807.919922,26436.390625,36.740002,125.879997
2020-12-23,12771.110352,26524.789063,37.439999,130.339996
2020-12-24,12804.730469,26668.349609,37.270000,123.389999
2020-12-28,12899.419922,26656.609375,36.820000,111.400002
2020-12-29,12850.219727,26854.029297,37.049999,114.389999
2020-12-30,12870.000000,27568.150391,36.740002,111.129997
2020-12-31,12888.280273,27444.169922,36.810001,104.470001
2021-01-04,12698.450195,27258.380859,36.810001,111.730003
2021-01-05,12818.959961,27158.630859,37.189999,109.180000
2021-01-06,12740.790039,27055.939453,36.869999,116.260002
2021-01-07,13067.480469,27490.130859,37.060001,115.089996
2021-01-08,13201.980469,28139.029297,37.130001,112.750000